id,modelId,description,category,topLevelSynsetId,subSynsetId
118343,39c629e6f9e752964c6ea7add0063fc3,A GRAY AND BROWN PILLOW HIGH LEGS  WOODEN CHAIR,Chair,03001627,04331277
118342,60c0c32187f4e2ddf51f77a6d7299806,"black ,U model shape sofa, clothe material, office and home use",Chair,03001627,02738535
118341,7c4253a5ea14b67b51d8ce5a7ab92c57,A L shaped table which is dark brown and light brown color.,Table,04379243,04379243
118340,2c14e910ad4173a898d5fc0473d00a1c,"black and red, without handle model, wooden, home and hotel use",Chair,03001627,03001627
118339,124ef426dfa0aa38ff6069724068a578,A BLUE CUSHING SEAT PILLOW BROWN WOODEN CHAIR,Chair,03001627,04331277
118338,75a2cfe5b82e03d2fb0eb7e753c06942,"brown and white , without handle model, wooden, material, home use",Chair,03001627,04331277
118337,bd516ff50ec6fcd498d5fc0473d00a1c,A brown table with shades of grey color on it.There are two broad legs.,Table,04379243,03179701
118336,86bf47a73d93b66ecd037ccdf14d7446,"white and brown, square and shape , wooden , office reception type model,",Table,04379243,03179701
118335,c45e6ceae72c7a97be8908669c476d49,A BROWN AND TWO SIDE BLUE GLASS TOP TABLE,Table,04379243,04379243
118334,e428b7d6634444a910bed4209a0dd8ed,"white and brown,  square shape, glass and wooden material, office use and home",Table,04379243,03179701
118333,5f4c30f80956bbd25fc5e56a56e86bdf,A BROWN AND DARK BROWN SQUARE WOODEN TABLE,Table,04379243,04379243
118332,7e4025dcdad5415386c701087a194026,"white , without handle model, wooden , office and home",Chair,03001627,04331277
118331,bca8b73b32108ad6d42ec7e303174a87,"black and white , without handle model, steal and plastic model, office and home use",Chair,03001627,03001627
118330,43f762270b438fe618a36258eabc2b9c,"white and brown, without handle model, wooden and cloth material, home use",Chair,03001627,03001627
118329,242055fadd675e626bf0788e630e3deb,"brown, square model, wooden material, home and office use",Table,04379243,20000037
118328,44ce5f9acd418c7dfebad4f49b26ec52,"black and brown, easy chair model, wooden, house use",Chair,03001627,02738535
118327,fdd7090f3ca12395a7ae19ac44244eae,"Like a ball with a side cut out, reddish brown color",Chair,03001627,03001627
118326,1952d19986c5f122fcf7c0d4b65182c4,A brown table with two layers. There are four small legs.,Table,04379243,20000040
118325,30dd74f09af6b1c2fe5c8ffd0f5eba47,"brown, L model, wooden type, office use table",Table,04379243,03179701
118324,7a7590d19cf8274dab610b0c94236463,Modern styled with a box base and an bicycle seat shaped top with a light birch grained wood.,Table,04379243,03179701
118323,1952d19986c5f122fcf7c0d4b65182c4,"brown, square model, wooden type, double step model table",Table,04379243,20000040
118322,5bd924058c668abc269aba35b84eb82a,"brown, square , wooden , house and office use model",Table,04379243,03179701
118321,4f7497a449c2e4a56b9e47850f23a791,round three legged with a pedestal.  Brown wood with a round rimmed top like a pie crust edge,Table,04379243,04603729
118320,2a98a638f675f46e7d44dc16af152638,A black and grey chair with grey cushions,Chair,03001627,03001627
118319,6fd7e0881e4148a238dcf62407724e73,"brown, without handle model, wooden type, office and home use",Chair,03001627,04331277
118318,50b6c4c7681aa3fcbaf2e78ed413860a,"brown and white , square type, glass and wood , tea table",Table,04379243,04379243
118317,736ef1325209503533d93f57729688db,"Grey, meatal framed, short back and hard.  legs attach with a bar on the bottom and has one stretcher",Chair,03001627,03001627
118316,217430853f56075915dd7d7985e749c1,IT IS A BROUND STUDY TABLE. THE DESIGN HAS AN ELEVATION FOR USER PREFERANCE,Table,04379243,03179701
118315,48de3e38b0c5fb40b07fa14c34cd0728,"brown, without handle model, wood material, home use",Chair,03001627,04331277
118314,99f50ca8fe9b541792ed85b04a73eb29,a brown wooden table four legs which are connected.,Table,04379243,04379243
118313,6ac89c723fcd7a55467971b4d8320221,"squarish grey, a hard material.  Very plain with four short square wooden legs",Chair,03001627,02738535
118312,9ef38dea16d4d335a71c812e027f94d9,IT IS A BLUE GLASS TABLE HAVING MANY LEGS AND IS A TEA SIZED TABLE,Table,04379243,04379243
118311,91819d15c2c044ebd47ffa500636d198,Styled in a depression era.  wood framed with carved shaped legs,Chair,03001627,03001627
118310,3d04cb63d2b1873fcf0dfe1797286ae,"brown, without handle and stick model, wood material, home use",Chair,03001627,04331277
118309,e84b5bbe91e0636cb21bc3cf138f79e,IT IS A BROWN CHAIR WITH GREY VERTICAL LEGS MATERIAL LOOKS TO BE PLASTIC HAS A STEADY BACKREST,Chair,03001627,03001627
118308,46cdb3dd8b6c460d473f10e6caaeca56,"brown and white , square shape, wooden and glass material, home use model",Table,04379243,03179701
118307,cdfa898eadf316122056b4bd5d870b47,modern and legless black and has a wedged back.  single pedestal and seems to float in the air,Chair,03001627,04373704
118306,5d59c0f64642450911794406b17d66b,"A light brown table with four designer legs, which resembles leg of horse.",Table,04379243,20000041
118305,6f5813533bb9001dd24546afc5de2582,IT IS A BROWN WOODEN STUDY TABLE IT IS RECTANGULAR IN SHAPE,Table,04379243,03179701
118304,5d30db5c8d27e120a653489f44e1bf89,"brown and white , square, wooden material, office use table",Table,04379243,03179701
118303,a7949f6ffcb23c178339e983761bc4a3,"rectangular shaped wooden table with grey and black color, multiple desk are provided looks modern.",Table,04379243,03179701
118302,52e0dbbb53159e0fbd8980415d183a3a,"brown and white, square model, stone and wood material, park and home garden use",Table,04379243,03092883
118301,741fa23c22d97ea81bd5f87ae5f3f83,wood framed with a plaid seat and back.  It has a rounded back.,Chair,03001627,04331277
118300,58b58d56e5bb2faa16fafea97f025a07,IT A DARK BROWN TEA-TABLE MATERIAL IS OF WOOD AND HAS GLASS ON THE TOP AND IT IS RECTANGULAR IN SHAPE,Table,04379243,03063968
118299,11040f463a3895019fb4103277a6b93,"white and brown, short size sofa , clothe and wooden material, home use model",Chair,03001627,20000027
118298,284831cd2c3c4641668ae11a7db5e82a,"rounded rectangular shaped wooden table with metal base , brown and grey in color, use for office purpose, legs are connected each other.",Table,04379243,04379243
118297,383ab6330284af461fc4ae93e00c18e5,This is metal relaxing chair. It usually found in clinics or salons.,Chair,03001627,03001627
118296,4e48be33083b8c70d810b14a81e12eca,IT IS A BROWN WARDROBE SHAPED IN A RECTANGLE MATERIAL IS OF WOOD AND HAS A RUDDY APPEARANCE,Table,04379243,03092883
118295,ad3e2d3cf9c03fb1c045ebb62fca20c6,This wooden centre table. It has 4 legs and lots of work on legs,Table,04379243,03063968
118294,4eeef58f4015cf74d93768e7b9b1eabf,"black and white grey , without handle model, steal and clothe , home and hotel use",Chair,03001627,03001627
118293,1eece111c9bc0a126172e4028919692e,This is metal table. It has silver paint with formica on top,Table,04379243,04379243
118292,4adde89dd6db1c4845e13b6ba9ac0cd3,IT IS A WOODEN GRAY CHAIR WITH FOUR VERTICAL LEGS AND A STEADY BACK REST,Chair,03001627,04331277
118291,e12ac2c1c707b7b2f45a7a3d26bcb6ad,This is light wood simple chair. This looks very strong.,Chair,03001627,02738535
118290,9ee4b9c97bcf4b3715dec43ae6a12831,"rectangular shaped wooden chair with brown color with straight back rest and no arms rest, legs are connected each other.",Chair,03001627,03001627
118289,396a32fab409303c811237b87ea8b154,A thin rectangular shaped table with long legs.,Table,04379243,20000041
118288,1b4e6f9dd22a8c628ef9d976af675b86,"brown and green, square model, wooden , dinner table",Table,04379243,03063968
118287,c9288e09458ec0e9bbc45ba666751519,This is dark cherry wood chair. It does not have any arm rests.,Chair,03001627,04331277
118286,8c8efbe62a1547942b90a0fb76278f6f,A BLUE CHAIR WITH SIDE HAND HAVING VERTICAL LINES AND A SOFT SEAT,Chair,03001627,03001627
118285,4f243d655c40702ec772d43f7a27a1e,This kind of printed antiques style chair.this is yellow and white,Chair,03001627,20000027
118284,48429b3467c7185060fcaed6cc231482,"brown, without handle , wooden material, home or hotel use model",Chair,03001627,03001627
118283,664eb477f8098678f1783a44a88d6274,A brown wooden chair with four legs. The backside is have line like designs.,Chair,03001627,04331277
118282,3789c5b85f49b21ef7628281ecb18112,This is wooden chair with cushions on back and on seat.,Chair,03001627,20000027
118281,10de9af4e91682851e5f7bff98fb8d02,Brown cushion oversize chair. It has arm rests,Chair,03001627,20000027
118280,201833c55354f1a2d1d1bb832a2f0352,"rectangular shaped wooden table with multi color , legs are thin in size and tall in height simple designed used for home purposes.",Table,04379243,04379243
118279,90eea7c7aa913fac57b8f616df7adf9a,A chair with brown cushions and grey arch shaped legs.,Chair,03001627,20000027
118278,d2a5b42cf29b753f71a782a4379556c7,A chair with light blue cushions and dark blue U shaped legs.,Chair,03001627,04331277
118277,5afc95ed2a26ce548644074928ab3f32,"rectangular shaped metal chair with blue color, back rest is provided but no arms rest, legs are splayed.",Chair,03001627,03001627
118276,650dd98cb20580cb99860e9353bb52a1,"rectangular shaped wooden table with dark brown color and blue surface, body with thick size and legs are thin in size looks quite simple.",Table,04379243,03063968
118275,411811d0fac7dea18705931e60ead6a0,Table tennis with blue colored covered with coat. Wooden legged with all sides.,Table,04379243,04381587
118274,e955b63a4bd738857178717457aa5d20,Comfortable swivel chair with blue colored foam based. Designed pushed back seater.,Chair,03001627,04373704
118273,ae3b4195dfa9779f89e49c5729fd5d6c,"rectangular shaped table with sponge surface, dark brown in color with complete back and arms rest , legs are with moving wheels looks modern.",Chair,03001627,20000027
118272,475cf49d3764f04ecc8bd7a04c9659f1,A wooden chair with four legs. It can be used as study chair.,Chair,03001627,03001627
118271,7ee46c6f7c028fc6d661ff085a0f14b7,"rectangular shaped metal chair with green,brown and grey color, with back rest and arms rest is provided, legs are little splayed.",Chair,03001627,02738535
118270,3503fedf43c99f0afb63ac4eaa5569d8,Wooden folding chair with comfortable back and handled. Made of wooden material.,Chair,03001627,20000022
118269,650dd98cb20580cb99860e9353bb52a1,This is a black coffee table with a blue top.,Table,04379243,03063968
118268,6721f13f40f706c31b17743c18fb63dc,"rectangular shaped metal chair with sponge on it, grey and black color back rest is round in design no arms rest and legs are designed simple.",Chair,03001627,04331277
118267,460eef2b90867427d9fad8aba2c312b7,this is a black chair with brown handles and a grey back.,Chair,03001627,02738535
118266,953ffe955229423213d2510999d0f1d2,A brown colored rectangular shaped wooden table,Table,04379243,04379243
118265,bf45b5c2c9dd8fa9fa24672a35ae8bb,this is a brown coffee table with a tan color circle in the center of the top.,Table,04379243,04379243
118264,83f1ff21744e71ad2690c0a5b39562ad,"rectangular shaped metal table with grey color, designed simple, legs are thin in size,mostly used for home purpose.",Table,04379243,04379243
118263,64eb6d8212acb69fa094848ea4d06501,This is a wide dark grey chair with red trim. Design of the chair is like a gutter.,Chair,03001627,20000027
118262,fb32e9a7a8c2dfad74eb542502c2205f,A brown wooden table with drawer and four legs.,Table,04379243,04379243
118261,4d14547b54611e9bcf1ee9bc9708f08c,"square shaped wooden table with green color, smooth surface legs are flat and little small in size.",Table,04379243,03179701
118260,9b6d1c0f3a20783af51f77a6d7299806,four leg design chair with cushion seat and comfort back dark brown in color looks stylish,Chair,03001627,04331277
118259,7fe836b46890d24a65ba78ad9601cf1b,A dark grey colored chair with four legs.,Chair,03001627,04331277
118258,1480684381add1e7fff16555386d173d,This is a grey glass top table with a small square base with 2 sqares placed perpendicular to each other fixed to the center of the table holding up the table top.,Table,04379243,04379243
118257,d609864ada7d0170278d386bfa54545,A grey colored single seated chair with four legs,Chair,03001627,04331277
118256,7af12c69626b5c1814038d588fd1342f,"four leg cushion chair with square base and comfort back multicolor cushion ,legs are made of wood",Chair,03001627,04331277
118255,fbf9b1f026a86d59eb5bc459c7142a3,Compartment shoe rack with 6 pairs of compartments. Full brownish metallic colored.,Table,04379243,04379243
118254,710441e3719c99e04b3c42e318f3affc,"rectangular curve shaped chair with black and cream color with complete back and arms rest, looks modern,",Chair,03001627,04099969
118253,d1c6ed48a115eed0659dda512294c744,two board leg rectangle base table made of glass on base and legs are made of steel looks simple,Table,04379243,03063968
118252,1fb025077ea5546bf7af398806a30cc7,A brown wooden table with two broad legs.On the top a small portion is green in color.,Table,04379243,03179701
118251,bcfda4ca76d65ca8d4eb6d6477feba27,two board sided table with rectangle base and four racks and rack for computer keyboard made of wood light brown in color,Table,04379243,03179701
118250,3e0fb214c130556aea3f94b6bb1b2ed6,"rectangular shaped wooden table with black and green color, legs are small in size, this is particularly used for playing purpose.",Table,04379243,03982430
118249,45d1e19ee0b79df377e131ed5f0fcc86,two board sided table with rectangle base and two racks made of wood grey in color,Table,04379243,04379243
118248,d89d8aff18d0f4fa6262f7bca314d953,Fibre stoned dining material. Foamed with stone.,Table,04379243,04379243
118247,95e1571acdd75922afdb9a672b7d3b8a,This is a Grey chair with white seat and top.,Chair,03001627,03001627
